# Created by Octave 3.8.1, Mon Nov 13 05:57:23 2017 CET <wohlrath@yumyumpc>
# name: x
# type: matrix
# rows: 9
# columns: 2
 2 0.0005078564578876415
 4 0.0003363139466437135
 6 0.000277213770847472
 10 0.0001977652929892176
 16 0.000165098684905652
 26 0.0001297238714665995
 40 0.0001119072487519567
 80 8.890467031624606e-05
 200 6.124136715084871e-05


